OID_,SAMPLE_ID,DIST_M,NEAR_RANK,AHA_ID,ZIP,AHA_ID_lon,AHA_ID_lat,ZIP_lon,ZIP_lat,BIN,STATE_ABBR,Google Maps,Bing Maps,ESRI Routing Service,OSRM,OSMNx,ArcGIS Pro,Total_Kilometers_Esri_Desktop
4821,2821,32458.094604690315,16,6430930.0,60157,-87.69437091,41.86112807,-88.05506837599998,41.97435851,16-30,IL,34.93333333333333,32.31666666666667,42.8035790965536,35.515,27.483333333333334,43.01280959,40.01932553
4767,2767,36769.53753015366,4,6420775.0,46034,-86.1270825,40.44727401,-86.029939032,40.124601583,16-30,IN,34.96666666666667,37.666666666666664,34.89952013829165,43.20666666666667,35.516666666666666,33.29771667,44.76959696
2165,165,22416.00749465767,1,6213930.0,12584,-73.89360446,41.29154863,-74.05079999999998,41.455,0-15,NY,35.0,36.53333333333333,32.22289480246164,35.45166666666667,0.0,33.97326412,34.73952413
5055,3055,37306.76362699136,2,6530880.0,35618,-87.69897197,34.74646474,-87.306819887,34.655899379,16-30,AL,35.0,39.28333333333333,36.11821770451379,39.46666666666667,28.983333333333334,34.702202,42.48723402
7507,5507,50928.532161566,2,6810030.0,59064,-108.51996833,45.79286687,-107.94218259,46.010178864,31-60,MT,35.0,68.83333333333333,33.164293378504325,43.73166666666667,29.516666666666666,33.68753787,53.76214184
5510,3510,34901.5692346162,1,6810415.0,59821,-114.04537917,46.84615594,-114.05692535,47.160001747,16-30,MT,35.0,37.0,33.960644212556986,37.84666666666667,31.183333333333337,33.41545677,44.28114448
4130,2130,24371.80679419145,1,6211670.0,12823,-73.64725488,43.30664528,-73.405642269,43.176553269,16-30,NY,35.016666666666666,36.31666666666667,33.40117795148971,45.39333333333333,12.366666666666667,33.93319704,33.51672715
4912,2912,35152.93263992592,11,6440805.0,48303,-82.91516772,42.41910009,-83.24575799999998,42.619944,16-30,MI,35.016666666666666,34.266666666666666,35.76916649457832,41.075,31.033333333333335,35.54075308,52.65706505
5081,3081,29927.557130825568,2,6540290.0,38947,-89.81758379999998,33.76334487,-89.908014478,33.504342696,16-30,MS,35.05,34.03333333333333,34.439987978438545,42.9,33.6,33.78495276,53.2437254
5263,3263,36363.40340813564,3,6710110.0,72207,-92.45781109,35.08579987,-92.344985481,34.771469009,16-30,AR,35.05,35.38333333333333,34.201739835935335,37.4,28.433333333333337,34.47318157,47.35841448
5199,3199,34025.232695824234,2,6631320.0,65669,-93.28917812,37.22492044,-93.296196613,36.918380356,16-30,MO,35.05,36.86666666666667,33.8557918276693,37.97,28.45,33.74478799,45.25680746
5981,3981,29101.037411326528,4,6430019.0,60512,-88.1582686,41.87255047,-88.416172723,41.695384052,16-30,IL,35.06666666666667,34.983333333333334,32.76718916137757,38.09,28.5,33.93274734,37.91959148
4048,2048,45394.722263235664,4,6141095.0,1069,-71.79225103,42.27295025,-72.32435380699998,42.17003683,16-30,MA,35.06666666666667,35.05,38.25477363573324,45.388333333333335,35.55,39.47532072,58.86976657
4297,2297,38237.71238090716,4,6230400.0,19717,-75.36862949,39.8560423,-75.75361123499998,39.681845981,16-30,PA,35.083333333333336,33.75,36.39066166969529,38.28333333333333,24.55,34.84846491,47.22159524
7314,5314,50190.172665650905,4,6720860.0,70130,-89.74370818,30.28701341,-90.073253051,29.936439216,31-60,LA,35.1,34.166666666666664,36.47221315480155,41.580000000000005,32.416666666666664,39.69548208,54.99227387
5089,3089,39714.92192279101,1,6540510.0,36912,-88.69952899,32.37280802,-88.312886925,32.229875922,16-30,MS,35.11666666666667,37.083333333333336,34.88192295670927,46.025,25.816666666666663,33.4969234,42.05565729
5767,3767,36320.15807950413,14,6931470.0,91791,-118.2901694,34.09812866,-117.89885063,34.063594615,16-30,CA,35.11666666666667,30.5,38.76465044463693,32.876666666666665,25.816666666666663,47.99482368,41.11858299
2452,452,23169.081397230464,1,6350642.0,25979,-81.11284404,37.36253365,-80.92807188499998,37.510422755,0-15,WV,35.166666666666664,36.81666666666667,33.26792392857666,37.47,31.05,30.51914461,31.24471237
4068,2068,43892.05538453148,3,6160003.0,6473,-72.68071247999998,41.75433701,-72.85832327,41.382333728,16-30,CT,35.18333333333333,35.733333333333334,35.85278467900397,38.63333333333333,33.06666666666667,36.96042704,50.90828149
5864,3864,31922.290549300586,3,6420420.0,46773,-85.24992496999998,41.03926399,-84.878897249,40.978970693,16-30,IN,35.18333333333333,37.56666666666667,38.09836715585261,44.225,34.2,33.19396799,36.90705222
5679,3679,35959.01804436524,1,6920051.0,97456,-123.02821392,44.0822978,-123.32314153,44.326672406,16-30,OR,35.18333333333333,36.833333333333336,34.01752816880338,41.76,33.28333333333333,34.45911104,42.64096995
2239,239,16853.49496589303,6,6220950.0,7076,-74.45931344,40.50189598,-74.37541127,40.639522082,0-15,NJ,35.18333333333333,35.483333333333334,35.375447862665624,31.2,23.75,31.04938627,32.26627676
5855,3855,35361.0277472635,5,6933605.0,95121,-122.17458808,37.43725375,-121.81084991,37.305951054,16-30,CA,35.18333333333333,32.31666666666667,34.924873556128276,37.46666666666667,27.766666666666666,39.61993665,38.95725462
2278,278,17364.637588227568,4,6230041.0,15045,-80.00338642,40.45610673,-79.888857648,40.326546802,0-15,PA,35.2,35.733333333333334,37.03181791641402,29.225,23.083333333333332,39.1408174,26.42856655
4379,2379,30553.366999703765,9,6320460.0,20885,-76.88716271,39.21412272,-77.226203,39.136024,16-30,MD,35.21666666666667,34.483333333333334,36.82077432906728,45.151666666666664,36.06666666666667,36.7288345,48.76300636
4586,2586,45511.293116498266,8,6390050.0,33315,-80.06902309,26.50361502,-80.154641346,26.100149737,16-30,FL,35.233333333333334,34.18333333333333,36.65860879508219,41.35,32.71666666666667,38.65161484,52.82330887
5206,3206,42304.84203916132,2,6640040.0,58579,-100.77783579,46.80712292,-100.80717326,47.187132407,16-30,ND,35.233333333333334,38.96666666666667,33.465823825187265,42.70666666666667,27.083333333333332,31.52189313,44.61012229
2089,89,19416.88523494872,26,6210034.0,11433,-73.8914302,40.85329051,-73.78784993499998,40.697175825,0-15,NY,35.25,31.75,42.62485112624616,26.0,22.583333333333332,39.58318357,25.41271641
4898,2898,41198.88812311969,4,6440049.0,48843,-83.40684303,42.53823301,-83.903445542,42.591106102,16-30,MI,35.25,38.65,35.727642663034054,43.86,32.4,36.44924666,53.50600377
5517,3517,26241.95240008801,2,6820050.0,83669,-116.19257625,43.61242381,-116.48654318,43.713625557,16-30,ID,35.266666666666666,37.0,31.243061345504547,33.005,25.166666666666668,31.97351657,29.77755012
